"No","Type","Mentions","Date","Link","Media","Sentiment","Author","Followers","Comments","Likes","Shares","Retweeted","Replied","Favourited"
"1","mention","Pengen banget gw gulai rahim penganut sekte childfree","2023-03-15 05:00:46","https://twitter.com/web/statuses/1635762924009697281","Twitter","Negative","@ygman90s (yogaymjd)","153","0","0","0","0","0","0"
"2","rt","RT @f_gilik yak bagus, video ini semakin menegaskan bahwa childfree adalah pilihan yg tepat untuk mencegah peningkatan populasi brainless dan mannerless [RE bakriesoedibjo]","2023-03-15 04:55:00","https://twitter.com/web/statuses/1635761470255550464","Twitter","Positive","@TheLegitimateP1 (Courier 74 Ã°ÂŸÂ‡ÂµÃ°ÂŸÂ‡Â¸)","33","0","0","0","0","0","0"
"3","rt","RT @leinad_28 @tanyakanrl Nanti alesannya ""Rezeki mah ada aja, sekarang mumpung finansial lagi bagus, punya anak dulu aja.""
*20+ thn kemudian curhat ke anak spt isi mf*

Hadeh. Kalo argumennya finansial mah susah wkwk. Siapa yang bisa prediksi finansial m","2023-03-15 04:42:27","https://twitter.com/web/statuses/1635758312196304896","Twitter","Negative","@shtttshut (Ã¢Â«Â Ã¢ÂƒÂ¢Ã°ÂŸÂ‘ÂÃœÂ«Ã°ÂŸÂ‘ÂÃ¢ÂƒÂ¢)","6","0","0","0","0","0","0"
"4","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 04:39:59","https://twitter.com/web/statuses/1635757691498041344","Twitter","Negative","@randydewanggaa (Randy Dewangga)","899","0","0","0","0","0","0"
"5","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 04:36:51","https://twitter.com/web/statuses/1635756905112158208","Twitter","Negative","@adeptusmiaow (capek farming momiji)","51","0","0","0","0","0","0"
"6","reply","@SoundOfYogi malah jadi tambah yakin untuk childfree","2023-03-15 04:18:37","https://twitter.com/web/statuses/1635752314597433344","Twitter","Negative","@leleohmeohmy (mia)","0","0","0","0","0","0","0"
"7","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 04:17:01","https://twitter.com/web/statuses/1635751911633874944","Twitter","Negative","@leleohmeohmy (mia)","0","0","0","0","0","0","0"
"8","rt","RT @yomskyy @tilehopper Kl gua liat kita mkin progresif, tapi progresifnya selektif. Soal isu lingkungan, disabilitas, gender equality, etc, Gen Z kita makin progresif; cuman isu lain macam lgbt, childfree, pengakuan agama diluar 6 yg resmi, etc, Gen Z ki","2023-03-15 04:13:42","https://twitter.com/web/statuses/1635751076573093889","Twitter","Negative","@mijnshf (Ã©Â›ÂªÃ©Â¹Â¿)","103","0","0","0","0","0","0"
"9","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 03:36:42","https://twitter.com/web/statuses/1635741768502358016","Twitter","Positive","@diminisshit (Nona)","164","0","0","0","0","0","0"
"10","rt","RT @aipsun Org2 yg menghujat mgkin krna iri mereka ga punya pilihan. Hrs mengikuti sistem turun temurun. Pdhl mah, mau childfree mau enggak ga masalah asal bahagia dan ga ganggu. Aku lbh mendukung childfree drpd terbatas ekonomi dan pendidikan tp punya an","2023-03-15 03:02:19","https://twitter.com/web/statuses/1635733115921649664","Twitter","Positive","@asriprabasari (aminah)","245","0","0","0","0","0","0"
"11","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-15 03:00:03","https://twitter.com/web/statuses/1635732544388988929","Twitter","Positive","@asriprabasari (aminah)","245","0","0","0","0","0","0"
"12","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 02:57:05","https://twitter.com/web/statuses/1635731795093381120","Twitter","Positive","@pejuangkhilaf (Calon Mahasiswa ETH)","114","0","0","0","0","0","0"
"13","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-15 02:54:33","https://twitter.com/web/statuses/1635731158976843777","Twitter","Positive","@bxmrlg (bayu marauleng)","524","0","0","0","0","0","0"
"14","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 02:44:36","https://twitter.com/web/statuses/1635728654134308864","Twitter","Negative","@maeffaaa (mae)","31","0","0","0","0","0","0"
"15","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 02:26:11","https://twitter.com/web/statuses/1635724018845360128","Twitter","Positive","@Yeoja3024 (Siapaya)","186","0","0","0","0","0","0"
"16","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 02:13:19","https://twitter.com/web/statuses/1635720781157257216","Twitter","Negative","@pshfly3424 (Ã°ÂŸÂŒÂ¹putri Ã¢Â˜ÂÃ°ÂŸÂŒÂ»)","1182","0","0","0","0","0","0"
